date,fuel,generation
2016-08-01,RFO,749871.969
2016-08-01,SUN,3957660.032
2016-08-01,WND,13584252.033
2016-08-01,WOC,991715.428
2016-08-01,WOO,100738.738
2016-08-01,WWW,3722235.784
2016-09-01,COL,113450880.316
2016-09-01,DFO,361234.86
2016-09-01,GEO,1326675.85
2016-09-01,HYC,16367726.939
2016-09-01,MLG,1484432.249
2016-09-01,NG,125693204.051
2016-09-01,NUC,65448176.0
2016-09-01,OOG,1020328.52
2016-09-01,ORW,272224.447
2016-09-01,OTH,1167539.738
2016-09-01,PC,979998.662
2016-09-01,RFO,515626.717
2016-09-01,SUN,3624925.502
2016-09-01,WND,16399582.051
2016-09-01,WOC,693011.313
2016-09-01,WOO,77307.612
2016-09-01,WWW,3409189.925
2016-10-01,COL,98786607.214
2016-10-01,DFO,359168.746
2016-10-01,GEO,1353167.417
2016-10-01,HYC,17339162.276
2016-10-01,MLG,1428165.671
2016-10-01,NG,102939075.653
2016-10-01,NUC,60762520.0
2016-10-01,OOG,913243.527
2016-10-01,ORW,264956.811
2016-10-01,OTH,1110696.703
2016-10-01,PC,634762.34
2016-10-01,RFO,547252.036
2016-10-01,SUN,3182536.716
2016-10-01,WND,20330352.001
2016-10-01,WOC,425321.059
2016-10-01,WOO,41705.488
2016-10-01,WWW,3176314.78
2016-11-01,COL,86393145.314
2016-11-01,DFO,582959.318
2016-11-01,GEO,1363849.687
2016-11-01,HYC,18808763.241
2016-11-01,MLG,1595163.033
2016-11-01,NG,93959843.845
2016-11-01,NUC,65194162.0
2016-11-01,OOG,1013335.964
2016-11-01,ORW,296200.40499999997
2016-11-01,OTH,1108288.842
2016-11-01,PC,798693.6030000001
2016-11-01,RFO,441912.115
2016-11-01,SUN,2760062.662
2016-11-01,WND,19401895.371
2016-11-01,WOC,579179.484
2016-11-01,WOO,68368.152
2016-11-01,WWW,3391222.112
2016-12-01,COL,117857162.417
2016-12-01,DFO,545562.963
2016-12-01,GEO,1453883.633
2016-12-01,HYC,22528146.066999998
2016-12-01,MLG,1652125.419
2016-12-01,NG,96468411.139
2016-12-01,NUC,71686449.0
2016-12-01,OOG,1037991.284
2016-12-01,ORW,293581.44
2016-12-01,OTH,1150549.818
2016-12-01,PC,869367.737
2016-12-01,RFO,535403.295
2016-12-01,SUN,2417984.862
2016-12-01,WND,23140630.316
2016-12-01,WOC,900581.22
2016-12-01,WOO,99408.076
2016-12-01,WWW,3615887.617
2017-01-01,COL,114378782.64
2017-01-01,DFO,501112.453
2017-01-01,GEO,1400642.071
2017-01-01,HYC,26627531.823
2017-01-01,MLG,1618328.919
2017-01-01,NG,95449493.716
2017-01-01,NUC,73133630.0
2017-01-01,OOG,1046563.8979999999
2017-01-01,ORW,281825.475
2017-01-01,OTH,1096011.551
2017-01-01,PC,943862.905
2017-01-01,RFO,508927.77
2017-01-01,SUN,2310477.056
2017-01-01,WND,20794728.394
2017-01-01,WOC,913464.074
2017-01-01,WOO,91940.697
2017-01-01,WWW,3498365.315
2017-02-01,COL,86026920.01099999
2017-02-01,DFO,388966.887
2017-02-01,GEO,1233308.768
2017-02-01,HYC,23879416.017
2017-02-01,MLG,1441860.023
2017-02-01,NG,82857918.944
2017-02-01,NUC,63567284.0
2017-02-01,OOG,977644.463
2017-02-01,ORW,257420.429
2017-02-01,OTH,995897.704
2017-02-01,PC,723044.677
2017-02-01,RFO,430161.934
2017-02-01,SUN,2741673.555
2017-02-01,WND,22087208.878
2017-02-01,WOC,810098.833
2017-02-01,WOO,62920.724
2017-02-01,WWW,3177648.962
2017-03-01,COL,88549443.064
2017-03-01,DFO,452311.405
2017-03-01,GEO,1380965.454
2017-03-01,HYC,29612807.973
2017-03-01,MLG,1558818.702
2017-03-01,NG,95253688.373
2017-03-01,NUC,65097447.0
2017-03-01,OOG,1060247.521
2017-03-01,ORW,291274.42100000003
2017-03-01,OTH,1065884.395
2017-03-01,PC,699007.699
2017-03-01,RFO,440271.676
2017-03-01,SUN,4497386.999
2017-03-01,WND,25725983.741
2017-03-01,WOC,856387.723
2017-03-01,WOO,71249.979
2017-03-01,WWW,3452127.468
2017-04-01,COL,80844288.049
2017-04-01,DFO,370781.078
2017-04-01,GEO,1335190.841
2017-04-01,HYC,29409063.167
2017-04-01,MLG,1488706.89
2017-04-01,NG,88591986.372
2017-04-01,NUC,56767775.0
2017-04-01,OOG,1001360.4839999999
2017-04-01,ORW,254519.035
2017-04-01,OTH,1055877.1
2017-04-01,PC,431015.326
2017-04-01,RFO,434963.736
2017-04-01,SUN,4894591.755
2017-04-01,WND,25372771.943
2017-04-01,WOC,528873.1359999999
2017-04-01,WOO,65984.216
2017-04-01,WWW,3123636.94
2017-05-01,COL,92156925.064
2017-05-01,DFO,435770.249
2017-05-01,GEO,1296024.463
2017-05-01,HYC,32606660.246
2017-05-01,MLG,1584787.693
2017-05-01,NG,98107073.091
2017-05-01,NUC,61349704.0
2017-05-01,OOG,1055751.673
2017-05-01,ORW,266367.016
2017-05-01,OTH,1092410.747
2017-05-01,PC,847081.761
2017-05-01,RFO,479542.431
2017-05-01,SUN,5770951.39
2017-05-01,WND,23061646.01
2017-05-01,WOC,627596.357
2017-05-01,WOO,59990.507
2017-05-01,WWW,3185617.538
2017-06-01,COL,106847863.428
2017-06-01,DFO,370119.551
2017-06-01,GEO,1278003.435
2017-06-01,HYC,30574881.454
2017-06-01,MLG,1545518.079
2017-06-01,NG,117367315.32
2017-06-01,NUC,67026536.0
2017-06-01,OOG,992976.131
2017-06-01,ORW,252387.115
2017-06-01,OTH,1102595.16
2017-06-01,PC,901492.158
2017-06-01,RFO,543173.728
2017-06-01,SUN,6100403.612
2017-06-01,WND,20136596.361
2017-06-01,WOC,674268.551
2017-06-01,WOO,82481.13799999999
2017-06-01,WWW,3433466.439
2017-07-01,COL,126809624.181
2017-07-01,DFO,373112.47
2017-07-01,GEO,1366548.748
2017-07-01,HYC,26597872.452
2017-07-01,MLG,1564951.8530000001
2017-07-01,NG,146799602.829
2017-07-01,NUC,71335325.0
2017-07-01,OOG,1047488.259
2017-07-01,ORW,260227.96
2017-07-01,OTH,1210692.208
2017-07-01,PC,889426.112
2017-07-01,RFO,484652.697
2017-07-01,SUN,5556077.237
2017-07-01,WND,16115329.117
2017-07-01,WOC,797511.283
2017-07-01,WOO,56380.883
2017-07-01,WWW,3687610.192
2017-08-01,COL,118478410.398
2017-08-01,DFO,345840.818
2017-08-01,GEO,1356880.712
2017-08-01,HYC,22033525.596
2017-08-01,MLG,1580749.869
2017-08-01,NG,141310136.803
2017-08-01,NUC,72384218.0
2017-08-01,OOG,1133260.2
2017-08-01,ORW,244541.237
2017-08-01,OTH,1221797.473
2017-08-01,PC,764672.418
2017-08-01,RFO,556496.243
2017-08-01,SUN,5355855.24
2017-08-01,WND,13834164.677
2017-08-01,WOC,810095.166
2017-08-01,WOO,69444.181
2017-08-01,WWW,3729046.163
2017-09-01,COL,96327782.361
2017-09-01,DFO,364817.23
2017-09-01,GEO,1325514.083
2017-09-01,HYC,19151459.692
2017-09-01,MLG,1480073.754
2017-09-01,NG,118142636.643
2017-09-01,NUC,68112399.0
2017-09-01,OOG,1059859.211
2017-09-01,ORW,223816.368
2017-09-01,OTH,1037292.191
2017-09-01,PC,711847.248
2017-09-01,RFO,496168.153
2017-09-01,SUN,5047451.391
2017-09-01,WND,17907938.077
2017-09-01,WOC,726604.045
