date,fuel,generation
2016-07-01,DFO,842003.824
2016-07-01,GEO,2622430.596
2016-07-01,HPS,-1567788.0
2016-07-01,HYC,42910641.86
2016-07-01,MLG,3156297.122
2016-07-01,NG,302648016.532
2016-07-01,NUC,140698694.0
2016-07-01,OOG,2153703.642
2016-07-01,ORW,524519.154
2016-07-01,OTH,2415456.738
2016-07-01,PC,2097669.066
2016-07-01,RFO,1555427.102
2016-07-01,SUN,7866223.534
2016-07-01,WND,35221322.546
2016-07-01,WOC,1965082.274
2016-07-01,WOO,147998.548
2016-07-01,WWW,7315395.924
2016-08-01,COL,269286036.588
2016-08-01,DFO,816288.496
2016-08-01,GEO,2648527.286
2016-08-01,HPS,-1804136.0
2016-08-01,HYC,39139098.28
2016-08-01,MLG,3150771.546
2016-08-01,NG,309827670.65
2016-08-01,NUC,143052810.0
2016-08-01,OOG,2127844.812
2016-08-01,ORW,569847.23
2016-08-01,OTH,2460742.136
2016-08-01,PC,2155794.448
2016-08-01,RFO,1497364.864
2016-08-01,SUN,7915320.064
2016-08-01,WND,27168504.066
2016-08-01,WOC,1983430.856
2016-08-01,WOO,201477.476
2016-08-01,WWW,7444471.568
2016-09-01,COL,226889514.306
2016-09-01,DFO,709125.576
2016-09-01,GEO,2653351.7
2016-09-01,HPS,-1430700.0
2016-09-01,HYC,32735368.054
2016-09-01,MLG,2968864.498
2016-09-01,NG,251345932.66
2016-09-01,NUC,130896352.0
2016-09-01,OOG,2040657.04
2016-09-01,ORW,544408.194
2016-09-01,OTH,2302939.132
2016-09-01,PC,1959997.324
2016-09-01,RFO,1028530.92
2016-09-01,SUN,7249851.004
2016-09-01,WND,32799164.102
2016-09-01,WOC,1386022.626
2016-09-01,WOO,154615.224
2016-09-01,WWW,6814715.652
2016-10-01,COL,197537245.426
2016-10-01,DFO,695887.376
2016-10-01,GEO,2706334.834
2016-10-01,HPS,-1121540.0
2016-10-01,HYC,34677713.082
2016-10-01,MLG,2856331.342
2016-10-01,NG,205776611.298
2016-10-01,NUC,121466686.0
2016-10-01,OOG,1826487.054
2016-10-01,ORW,529876.424
2016-10-01,OTH,2185162.492
2016-10-01,PC,1269524.68
2016-10-01,RFO,1094462.148
2016-10-01,SUN,6365073.432
2016-10-01,WND,40660704.002
2016-10-01,WOC,850642.118
2016-10-01,WOO,82880.62
2016-10-01,WWW,6352165.56
2016-11-01,COL,172722566.104
2016-11-01,DFO,1123313.53
2016-11-01,GEO,2727699.374
2016-11-01,HPS,-1213790.0
2016-11-01,HYC,37616530.566
2016-11-01,MLG,3190326.066
2016-11-01,NG,187812362.26
2016-11-01,NUC,130357552.0
2016-11-01,OOG,2026652.28
2016-11-01,ORW,592171.166
2016-11-01,OTH,2184628.466
2016-11-01,PC,1597387.206
2016-11-01,RFO,881227.482
2016-11-01,SUN,5520125.324
2016-11-01,WND,38803790.742
2016-11-01,WOC,1158358.968
2016-11-01,WOO,136216.144
2016-11-01,WWW,6782444.224
2016-12-01,COL,235692521.284
2016-12-01,DFO,1065052.366
2016-12-01,GEO,2907767.266
2016-12-01,HPS,-1505738.0
2016-12-01,HYC,45055529.118
2016-12-01,MLG,3302016.652
2016-12-01,NG,192813304.75
2016-12-01,NUC,143324858.0
2016-12-01,OOG,2074923.48
2016-12-01,ORW,586967.7019999999
2016-12-01,OTH,2266742.44
2016-12-01,PC,1738735.474
2016-12-01,RFO,1070802.278
2016-12-01,SUN,4835969.724
2016-12-01,WND,46281260.632
2016-12-01,WOC,1801162.44
2016-12-01,WOO,196222.37
2016-12-01,WWW,7230897.234
2017-01-01,COL,228743025.712
2017-01-01,DFO,992262.912
2017-01-01,GEO,2801284.142
